Round Number,Date,Location,Home Team,Away Team,Result
1,09/09/2019 01:20,Gillette Stadium,New England Patriots,Pittsburgh Steelers,
2,15/09/2019 18:00,Heinz Field,Pittsburgh Steelers,Seattle Seahawks,
3,22/09/2019 21:25,Levi's Stadium,San Francisco 49ers,Pittsburgh Steelers,
4,01/10/2019 01:15,Heinz Field,Pittsburgh Steelers,Cincinnati Bengals,
5,06/10/2019 18:00,Heinz Field,Pittsburgh Steelers,Baltimore Ravens,
6,14/10/2019 01:20,Dignity Health Sports Park,Los Angeles Chargers,Pittsburgh Steelers,
8,29/10/2019 00:15,Heinz Field,Pittsburgh Steelers,Miami Dolphins,
9,03/11/2019 18:00,Heinz Field,Pittsburgh Steelers,Indianapolis Colts,
10,10/11/2019 21:25,Heinz Field,Pittsburgh Steelers,Los Angeles Rams,
11,15/11/2019 01:20,FirstEnergy Stadium,Cleveland Browns,Pittsburgh Steelers,
12,24/11/2019 18:00,Paul Brown Stadium,Cincinnati Bengals,Pittsburgh Steelers,
13,01/12/2019 21:25,Heinz Field,Pittsburgh Steelers,Cleveland Browns,
14,08/12/2019 21:25,State Farm Stadium,Arizona Cardinals,Pittsburgh Steelers,
15,15/12/2019 18:00,Heinz Field,Pittsburgh Steelers,Buffalo Bills,
16,22/12/2019 18:00,MetLife Stadium,New York Jets,Pittsburgh Steelers,
17,29/12/2019 18:00,M&T Bank Stadium,Baltimore Ravens,Pittsburgh Steelers,
